id,name,table_bookings,online_ordering,location,rating,votes,phone,restaurant_type,restaurant_operation,popular_dishes,cuisines_offered,primary_cuisine,dining_cost
19340,Plan B,No,No,Greenwich,4.2/5,1651.0, 8041609100,Casual Dining,Pubs and bars,7.0,4.0,American,1.0
31103,Hunan,No,Yes,Tribeca,4.3 /5,2248.0,080 25520154,Casual Dining,Dine-out,7.0,3.0,Chinese,1.0
17563,Lavonne,No,No,Greenwich,4.4/5,1095.0, 9740954505,Cafe,Cafes,7.0,2.0,Snacks,1.0
11192,Ambur Star Dum Burger,Yes,No,Chelsea,3.4/5,17.0," 7200110202,  9840017416",Quick Bites,Dine-out,1.0,1.0,Italian,0.0
21324,Dadi's Dum Burger,Yes,Yes,Lower Manhattan,4.1 /5,2727.0," 7090999991,  7090599999",Casual Dining,Dine-out,7.0,3.0,Italian,1.0
36230,New Farm Fresh,No,No,Lower Manhattan,3.6 /5,34.0," 8884062000
 8884632000",,Delivery,1.0,2.0,,1.0
41569,Swathi Deluxe,Yes,Yes,Staten and Ellis Islands,3.9 /5,228.0," 9902410005
 9900043666",Casual Dining,Dine-out,7.0,4.0,American,1.0
20066,Paratha Junction,Yes,No,Chelsea,3.3/5,397.0, 7022586895,Quick Bites,Delivery,1.0,2.0,American,0.0
50561,Imperio Cafe,No,No,Chinatown,3.9 /5,23.0," 8061525151
 9844023124",Quick Bites,Delivery,1.0,5.0,Snacks,0.0
22109,Biggies Burger 'n' More,Yes,No,Midtown,4.1/5,206.0," 9740962288, 080 41145111",Quick Bites,Delivery,7.0,3.0,Snacks,1.0
51117,Brilram's Balaji Bhavan,No,No,Chinatown,3.9 /5,141.0," 9742953541
 7899401836",Casual Dining,Dine-out,5.0,3.0,Mexican,1.0
1788,Soul Curries,No,No,Midtown,,0.0, 8617274698,Quick Bites,Delivery,1.0,1.0,Mexican,0.0
20169,Eat Repeat Express,Yes,No,Midtown,3.2/5,20.0," 9538155111, 080 41325511",Casual Dining,Delivery,1.0,5.0,American,1.0
41849,repEAT Hub,No,No,Staten and Ellis Islands,,0.0, 9742745677,Quick Bites,Dine-out,1.0,3.0,American,0.0
9607,Top Foam Parantha Roll & Juice Centre,No,No,Lower Manhattan,3.5/5,13.0, 8792536494,Quick Bites,Delivery,1.0,4.0,American,0.0
21270,Karnataka Biriyani Centre,No,No,Chelsea,,0.0," 9902593411,  8147118457",Quick Bites,Dine-out,1.0,1.0,Italian,0.0
31763,The Munch Box,No,No,East Village,,0.0, 7259783876,Quick Bites,Dine-out,1.0,2.0,American,0.0
41573,Rayalaseema Chefs,Yes,Yes,Staten and Ellis Islands,3.9 /5,231.0," 7026376666
 7026386666",Casual Dining,Dine-out,7.0,4.0,American,1.0
36078,Amjad Bhai's Star Hotel - Home Food Only,No,No,Lower Manhattan,NEW,0.0, 9945367360,Quick Bites,Delivery,1.0,2.0,American,0.0
45814,Little Italy,Yes,Yes,Greenwich,4.2 /5,3307.0,"080 25207171
080 25207272",Casual Dining,Dine-out,7.0,3.0,Italian,1.0
